,player_id,player_display_name,headshot_url,position,team,games_played,total_fantasy_ppr,avg_fantasy_ppr,std_fantasy_ppr,total_passing_yards,total_passing_tds,total_passing_2pt_conversions,total_rushing_yards,total_rushing_tds,total_carries,total_rushing_2pt_conversions,total_targets,total_receptions,total_receiving_yards,total_receiving_tds,total_interceptions,total_fumbles_lost
63,00-0036410,Tee Higgins,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/flr9f8oqigbyroeaubxb",WR,CIN,14,192.9,13.778571428571428,8.43392221662282,0,0,0,0,0,0,0,89,53,779,10,0,0
64,00-0039163,C.J. Stroud,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/tt4zrtxlhifaljhj0rn7",QB,HOU,13,191.28,14.713846153846154,6.750157453054383,2872,18,0,204,0,46,0,0,0,0,0,8,0
65,00-0030506,Travis Kelce,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ebc5j60djpinc9elvlc5",TE,KC,16,189.0,11.8125,6.334548129109131,0,0,0,1,0,1,0,102,73,839,5,0,0
66,00-0040734,TreVeyon Henderson,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/cfcux3dnfmbmz3qzrnco",RB,NE,16,188.9,11.80625,9.81580146158903,0,0,0,858,7,167,0,42,35,221,1,0,1
67,00-0035640,DK Metcalf,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/tknefloqsleltfmslj2y",WR,PIT,15,187.2,12.479999999999999,5.99930948407517,0,0,0,12,1,2,0,99,59,850,6,0,0
68,00-0038041,Jake Ferguson,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ebdz1yf8ky2mscdvyv1v",TE,DAL,16,186.6,11.6625,6.865165693557585,0,0,0,1,0,1,0,100,81,595,8,0,2
69,00-0040663,Harold Fannin Jr.,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/fxublmpnxx9uggsddwik",TE,CLE,16,186.4,11.65,5.72910696938595,0,0,0,13,1,7,0,107,72,731,6,0,1
70,00-0034351,Dallas Goedert,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/a6ljhwvkehvyiufdx3d1",TE,PHI,15,185.1,12.34,7.17414006793049,0,0,0,0,0,0,0,82,60,591,11,0,0
71,00-0037238,Drake London,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/np91pvk7mczra1iyjkmo",WR,ATL,11,184.1,16.736363636363635,12.008686250150157,0,0,0,0,0,0,0,104,64,841,6,0,1
72,00-0035719,Deebo Samuel Sr.,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ntgyhqg6hq7fanhhsqiw",WR,WAS,15,184.1,12.273333333333333,6.867986465860143,0,0,0,74,1,15,0,94,70,707,5,0,0
